time,ro0,ro1,ro2,ro3,ro4,ro5,ro6,ro7,
4.95000000e-10,1.70531310e-02,1.48511775e-02,8.69209968e-03,4.89586156e-03,1.01931814e-02,1.60230473e-02,1.39201241e-02,8.36590493e-03,
5.05000000e-10,6.71894545e-03,5.51625129e-03,3.22225951e-03,2.02223452e-03,3.71039148e-03,6.72134260e-03,6.14701232e-03,3.43141175e-03,
5.15000000e-10,2.84663963e-03,2.32395583e-03,1.53267061e-03,1.02539803e-03,1.69322348e-03,2.94704682e-03,2.82615580e-03,1.66961634e-03,
5.25000000e-10,1.43817608e-03,1.18451675e-03,7.94899383e-04,5.18121248e-04,8.57075056e-04,1.52797199e-03,1.49401092e-03,8.28142577e-04,
5.35000000e-10,7.00541455e-04,5.91107598e-04,3.94549566e-04,3.22916502e-04,4.30457360e-04,7.77510950e-04,7.62152101e-04,4.10801101e-04,
5.45000000e-10,3.60703228e-04,3.41909857e-04,2.52574792e-04,2.38344795e-04,2.80559073e-04,4.14952529e-04,4.05449317e-04,2.64167709e-04,
5.55000000e-10,2.42875763e-04,2.44682165e-04,1.90276744e-04,1.83663578e-04,2.14388675e-04,2.58981844e-04,2.48724061e-04,1.97514537e-04,
5.65000000e-10,1.81732012e-04,1.83714157e-04,1.48394693e-04,1.53889267e-04,1.68731856e-04,1.76516542e-04,1.65359254e-04,1.54312373e-04,
5.75000000e-10,1.43972852e-04,1.47747062e-04,1.25787673e-04,1.37030351e-04,1.42660037e-04,1.36335806e-04,1.25234876e-04,1.30199341e-04,
5.85000000e-10,1.24578994e-04,1.29188923e-04,1.13541089e-04,1.23821204e-04,1.28006525e-04,1.17868963e-04,1.07777019e-04,1.15811393e-04,
5.95000000e-10,1.12615575e-04,1.17064573e-04,1.05655417e-04,1.17852888e-04,1.19105705e-04,1.06096103e-04,9.79697423e-05,1.05110544e-04,
6.05000000e-10,1.05067330e-04,1.13256597e-04,1.03337914e-04,1.05958494e-04,1.14101325e-04,1.01719493e-04,9.57220282e-05,1.00597762e-04,
6.15000000e-10,9.97731943e-05,9.44715828e-05,6.41827406e-05,3.52569236e-05,6.63081259e-05,9.18977634e-05,7.73945988e-05,7.96887664e-05,
6.25000000e-10,6.25171449e-05,1.23889833e-05,-7.18352208e-06,-4.04187645e-06,7.04822786e-06,1.77310007e-05,-4.72779200e-06,7.51482585e-06,
6.35000000e-10,1.10028228e-06,1.22736787e-06,1.12202542e-04,5.61909939e-04,3.55979184e-04,-1.94325916e-05,-2.05733465e-06,1.18649314e-04,
6.45000000e-10,1.18720368e-04,7.30964230e-04,9.23584138e-04,1.56077117e-03,1.32433032e-03,4.88636342e-04,7.23267826e-04,9.67851067e-04,
6.55000000e-10,9.27169311e-04,1.62549434e-03,1.17287689e-03,-3.31350258e-03,-1.79373379e-03,1.47398137e-03,1.59902466e-03,2.81199474e-04,
6.65000000e-10,9.34931854e-04,-4.70508844e-03,-6.20310280e-03,-1.60250789e-02,-1.28793990e-02,-2.73684671e-03,-4.56589654e-03,-8.11654528e-03,
6.75000000e-10,-6.78498535e-03,-1.82532656e-02,-2.06595767e-02,2.63523719e-02,2.07361360e-02,-1.54297890e-02,-1.95127382e-02,-1.15432422e-02,
6.85000000e-10,-1.66509031e-02,3.29641559e-02,2.17085847e-02,1.98752471e-01,1.76763117e-01,1.83090397e-03,6.42034662e-03,6.88086553e-02,
6.95000000e-10,5.28655876e-02,2.17553130e-01,1.91822319e-01,4.72488245e-01,4.41232470e-01,1.24004855e-01,1.47624270e-01,2.79446392e-01,
7.05000000e-10,2.61726381e-01,4.88170618e-01,4.51002028e-01,7.63867431e-01,7.31300255e-01,3.57111291e-01,3.92022311e-01,5.50964519e-01,
7.15000000e-10,5.43500625e-01,7.64496838e-01,7.23095691e-01,9.92666669e-01,9.66553536e-01,6.29055055e-01,6.65730234e-01,8.06323175e-01,
